Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
KFI_0,6.53E-01,0.637133172,9.33E-01,1.02E+00
KFI_1,6.53E-01,0.633504459,9.09E-01,1.05E+00
LAU_0,5.53E-01,0.497004597,6.72E-01,1.094381845
LAU_1,5.83E-01,0.51346166,7.06E-01,1.09E+00
LAU_2,5.62E-01,0.498949491,6.53E-01,1.11E+00
LEV_0,5.67E-01,0.572138251,8.85E-01,0.976852268
LEV_1,5.75E-01,0.57891935,8.68E-01,1.000504666
LEV_2,5.61E-01,0.548736254,9.06E-01,1.003705971
LOV_0,0.698869639,0.699893562,0.253845341,1.081810037
LTA_0,6.05E-01,0.618333993,7.47E-01,0.974273576
LTA_1,6.34E-01,0.618333993,8.33E-01,1.01E+00
LTA_2,6.35E-01,0.618333993,8.40E-01,1.02E+00
LTF_0,5.29E-01,0.497617409,7.15E-01,1.089911299
LTF_1,5.43E-01,0.519503223,7.72E-01,1.118643505
LTL_0,6.57E-01,0.652300282,8.49E-01,1.00E+00
LTL_1,7.05E-01,0.655531602,8.69E-01,1.06E+00
LTL_2,6.80E-01,0.639737157,8.80E-01,1.03E+00
MAZ_0,5.48E-01,0.541207925,7.71E-01,1.002141468
MAZ_1,5.72E-01,0.55739153,7.91E-01,1.027841561
MEI_0,6.69E-01,0.619179685,8.49E-01,1.09E+00
MEI_1,6.69E-01,0.614811774,8.80E-01,1.07E+00
MEL_0,6.02E-01,0.562931681,7.24E-01,1.07E+00
MEL_1,5.74E-01,0.528705775,6.51E-01,1.108215277
MEL_2,0.581469612,0.523765916,0.684326009,1.095784934
MER_0,0.670062002,0.613583367,0.651219905,1.03974147
MER_1,0.72725749,0.695227336,0.661805992,1.038254189
MER_2,6.08E-01,0.571365945,7.23E-01,1.13E+00
MFI_0,0.643197441,0.571013155,0.675245664,1.145847432
MFI_1,0.581805035,0.549935137,0.666597669,1.095655131
MFI_2,0.598455667,0.548801394,0.669145408,1.111820556
MFS_0,6.26E-01,0.594164595,7.38E-01,1.04E+00
MFS_1,0.600433144,0.585018851,0.726377449,1.002034738
MON_0,1.803804993,1.478078659,0.668648435,1.160695276
MOR_0,0.624477057,0.574777586,0.471995864,1.150160248
MOR_1,0.602627135,0.549256786,0.462632814,1.123535947
MOZ_0,6.12E-01,0.561694021,8.41E-01,1.06E+00
MOZ_1,6.15E-01,0.599565993,8.54E-01,1.00E+00
MRE_0,5.29E-01,0.464227463,7.12E-01,1.119703052
MRE_1,0.517007899,0.456457905,0.637461537,1.171720219
MRT,5.97E-01,0.552374212,7.32E-01,1.079705329
MSE_0,6.16E-01,0.595713942,9.38E-01,1.03E+00
MSE_1,6.30E-01,0.589921534,8.97E-01,1.04E+00
MTF_0,5.52E-01,0.598365069,7.75E-01,0.951277628
MTF_1,5.05E-01,0.522129725,7.54E-01,0.903194735
MTT_0,5.87E-01,0.525787718,7.56E-01,1.14E+00
MTT_1,5.42E-01,0.478967365,6.59E-01,1.137476156
MTW_0,6.13E-01,0.623510315,8.06E-01,9.85E-01
MTW_1,5.86E-01,0.564088087,8.44E-01,1.023499353
MWF,0.68273309,0.657967964,0.651418378,1.069613228
MWW_0,6.41E-01,0.606188236,8.43E-01,1.028444862
MWW_1,6.07E-01,0.613590506,7.92E-01,1.002224664
NAT_0,9.17E-01,0.801051966,8.69E-01,1.16E+00
NES_0,6.33E-01,0.623376543,8.98E-01,1.02E+00
NES_1,6.18E-01,0.623376543,8.77E-01,1.05E+00
NPT_0,6.39E-01,0.57730736,7.32E-01,1.13E+00
OBW_0,6.62E-01,0.616111729,7.56E-01,1.07E+00
OFF_0,5.48E-01,0.511941728,7.90E-01,1.065692929
OFF_1,5.91E-01,0.545722384,8.49E-01,1.10299964
OFF_2,5.83E-01,0.54263,8.12E-01,1.09346605
OKO_0,6.16E-01,0.577538673,8.87E-01,1.05E+00
OKO_1,6.04E-01,0.599228784,8.71E-01,1.04E+00
OSI_0,6.70E-01,0.63775557,9.25E-01,1.05E+00
OSI_1,6.11E-01,0.685684753,9.06E-01,0.942488899
OSO_0,6.91E-01,0.670813646,8.33E-01,1.06E+00
OSO_1,6.98E-01,0.683794616,8.40E-01,1.06E+00
OWE_0,5.46E-01,0.483043022,6.38E-01,1.181359682
PAU_0,0.71188405,0.670005205,0.733193523,1.109219649
