Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
CON_0,6.41E-01,6.21E-01,9.01E-01,1.03E+00
CON_1,6.63E-01,6.22E-01,8.66E-01,1.07E+00
CON_2,6.26E-01,5.94E-01,8.91E-01,1.05E+00
CSV,6.57E-01,6.49E-01,8.88E-01,1.01E+00
CZP_0,1.219650316,1.117310219,0.598514621,1.09159506
DAC_0,0.600316881,0.522940582,0.401462864,1.147963844
DDR_0,0.622543966,0.538559434,0.390949989,1.155942922
DDR_1,0.563618984,0.501888053,0.367177106,1.122997411
DFO_0,6.68E-01,6.33E-01,8.89E-01,1.06E+00
DFO_1,6.68E-01,6.40E-01,8.99E-01,1.04E+00
DFT_0,0.604024746,0.557785905,0.073152824,1.082897113
DON_0,7.10E-01,6.98E-01,9.75E-01,1.02E+00
DON_1,7.09E-01,7.03E-01,9.60E-01,1.01E+00
EAB_0,5.36E-01,5.24E-01,7.27E-01,1.023203917
EAB_1,5.69E-01,4.87E-01,7.46E-01,1.17E+00
EAB_2,5.73E-01,5.13E-01,7.35E-01,1.118403594
EDI_0,0.552256954,0.445416898,0.346203593,1.239865296
EDI_2,5.79E-01,4.66E-01,5.15E-01,1.24E+00
EMT_0,5.97E-01,5.99E-01,6.22E-01,0.996437059
EMT_1,6.10E-01,6.25E-01,6.10E-01,9.76E-01
EMT_2,6.27E-01,6.25E-01,6.36E-01,1.002899351
EON_0,0.584893224,0.545053062,0.637910295,1.073094099
EON_1,5.90E-01,5.60E-01,6.78E-01,1.053646371
EPI_0,0.583879128,0.484616455,0.428579743,1.204827285
EPI_1,0.534770446,0.444148073,0.308583503,1.204036397
ERI_0,6.08E-01,5.38E-01,9.12E-01,1.131384825
ERI_1,6.28E-01,5.78E-01,9.24E-01,1.087765208
ERI_2,5.82E-01,5.55E-01,8.65E-01,1.049979832
ESV_0,5.38E-01,5.12E-01,7.15E-01,1.052612255
ESV_1,0.519963273,0.541075526,0.723574781,0.960980949
